	Plant	Location	Year	State	Year-State	Internal Name	Proposal ID	Principal Investigator 	Final Deliverable Project ID	Final Deliverable Project Name	Final Deliverable Product Name	Final Deliverable Status	Sequencing Project ID	Sequencing Project Name	Planned Sequencing Product	Actual Sequencing Product	Sequencing Project Status _	SP Visibility	Project Visible?	Portal Visible?	Bioproject ID	Biosample ID	NCBI SRA Accession ID	Sample Isolation Method	Sample Isolated From	Sample Collection Site / Growth Conditions	Sample ID	Sample Name	Sample Tube/Plate Label	Sample QC Type	Sample QC Status	Library Creation Specs	Actual Library Creation Queue	SOW Item ID	SOW Item Status	Current Material Location	Library QC Status	Library Name 	RQC Seq Unit Name	RQC Seq Unit State
X9041.4.119146.AGTCAA.fastq.gz.sam.bam.sorted.bed.bed2.counts	Switchgrass	KBS	2014	MI	2014-MI	TG	1296	"Tiedje, James"	1062746	KBS Switchgrass S4-2	Metagenome Annotated Standard Draft	Complete	1062778	KBS Switchgrass S4-2	Metagenome Standard Draft	Metagenome Standard Draft	Complete	DataAvailable	Visible	Visible	PRJNA375571	SAMN06344177	SRP106496	PowerSoil¨ DNA Isolation Kit (MOBIO) and DNA Clean & Concentrator (Zymo)	Rhizosphere soil	Field cultivated with switchgrass	82380	S4-2	Tiedje.KBS.metaG	Quantity	Pass	"Illumina Regular Fragment, 270bp"	"Illumina Regular Fragment, 300bp, Tubes"	106720	Complete	Segment QC: Completed	Passed	AAHAN	9041.4.119146.AGTCAA.fastq.gz	usable
X9041.5.119148.AGTTCC.fastq.gz.sam.bam.sorted.bed.bed2.counts	Switchgrass	KBS	2014	MI	2014-MI	TG	1296	"Tiedje, James"	1062748	KBS Switchgrass S5-2	Metagenome Annotated Standard Draft	Complete	1062779	KBS Switchgrass S5-2	Metagenome Standard Draft	Metagenome Standard Draft	Complete	DataAvailable	Visible	Visible	PRJNA375572	SAMN06344178	SRP107494	PowerSoil¨ DNA Isolation Kit (MOBIO) and DNA Clean & Concentrator (Zymo)	Rhizosphere soil	Field cultivated with switchgrass	82381	S5-2	Tiedje.KBS.metaG	Quantity	Pass	"Illumina Regular Fragment, 270bp"	"Illumina Regular Fragment, 300bp, Tubes"	106721	Complete	Segment QC: Completed	Passed	AAHAO	9041.5.119148.AGTTCC.fastq.gz	usable
X9041.6.119150.ATGTCA.fastq.gz.sam.bam.sorted.bed.bed2.counts	Switchgrass	KBS	2014	MI	2014-MI	TG	1296	"Tiedje, James"	1062750	KBS Switchgrass S6-2	Metagenome Annotated Standard Draft	Complete	1062780	KBS Switchgrass S6-2	Metagenome Standard Draft	Metagenome Standard Draft	Complete	DataAvailable	Visible	Visible	PRJNA375573	SAMN06344179	SRP107495	PowerSoil¨ DNA Isolation Kit (MOBIO) and DNA Clean & Concentrator (Zymo)	Rhizosphere soil	Field cultivated with switchgrass	82382	S6-2	Tiedje.KBS.metaG	Quantity	Pass	"Illumina Regular Fragment, 270bp"	"Illumina Regular Fragment, 300bp, Tubes"	106722	Complete	Segment QC: Completed	Passed	AAHAP	9041.6.119150.ATGTCA.fastq.gz	usable
X9041.7.119152.CCGTCC.fastq.gz.sam.bam.sorted.bed.bed2.counts	Switchgrass	KBS	2014	MI	2014-MI	TG	1296	"Tiedje, James"	1062752	KBS Switchgrass S7-2	Metagenome Annotated Standard Draft	Complete	1062781	KBS Switchgrass S7-2	Metagenome Standard Draft	Metagenome Standard Draft	Complete	DataAvailable	Visible	Visible	PRJNA375574	SAMN06344180	SRP106648	PowerSoil¨ DNA Isolation Kit (MOBIO) and DNA Clean & Concentrator (Zymo)	Rhizosphere soil	Field cultivated with switchgrass	82383	S7-2	Tiedje.KBS.metaG	Quantity	Pass	"Illumina Regular Fragment, 270bp"	"Illumina Regular Fragment, 300bp, Tubes"	106723	Complete	Segment QC: Completed	Passed	AAHAS	9041.7.119152.CCGTCC.fastq.gz	usable
X9041.8.119154.GTCCGC.fastq.gz.sam.bam.sorted.bed.bed2.counts	Miscanthus	KBS	2014	MI	2014-MI	TG	1296	"Tiedje, James"	1062756	KBS Miscanthus M2-2	Metagenome Annotated Standard Draft	Complete	1062783	KBS Miscanthus M2-2	Metagenome Standard Draft	Metagenome Standard Draft	Complete	DataAvailable	Visible	Visible	PRJNA375576	SAMN06344182	SRP107245	PowerSoil¨ DNA Isolation Kit (MOBIO) and DNA Clean & Concentrator (Zymo)	Rhizosphere soil	Field cultivated with Miscanthus	82385	M2-2	Tiedje.KBS.metaG	Quantity	Pass	"Illumina Regular Fragment, 270bp"	"Illumina Regular Fragment, 300bp, Tubes"	106725	Complete	Segment QC: Completed	Passed	AAHAU	9041.8.119154.GTCCGC.fastq.gz	usable
X9053.2.119381.GTGAAA.fastq.gz.sam.bam.sorted.bed.bed2.counts	Miscanthus	KBS	2014	MI	2014-MI	TG	1296	"Tiedje, James"	1062758	KBS Miscanthus M3-2	Metagenome Annotated Standard Draft	Complete	1062784	KBS Miscanthus M3-2	Metagenome Standard Draft	Metagenome Standard Draft	Complete	DataAvailable	Visible	Visible	PRJNA375577	SAMN06344183	SRP107359	PowerSoil¨ DNA Isolation Kit (MOBIO) and DNA Clean & Concentrator (Zymo)	Rhizosphere soil	Field cultivated with Miscanthus	82386	M3-2	Tiedje.KBS.metaG	Quantity	Pass	"Illumina Regular Fragment, 270bp"	"Illumina Regular Fragment, 300bp, Tubes"	106726	Complete	Segment QC: Completed	Passed	AAHAW	9053.2.119381.GTGAAA.fastq.gz	usable
X9053.3.119383.GTGGCC.fastq.gz.sam.bam.sorted.bed.bed2.counts	Miscanthus	KBS	2014	MI	2014-MI	TG	1296	"Tiedje, James"	1062760	KBS Miscanthus M4-2	Metagenome Annotated Standard Draft	Complete	1062785	KBS Miscanthus M4-2	Metagenome Standard Draft	Metagenome Standard Draft	Complete	DataAvailable	Visible	Visible	PRJNA375578	SAMN06344184	SRP107252	PowerSoil¨ DNA Isolation Kit (MOBIO) and DNA Clean & Concentrator (Zymo)	Rhizosphere soil	Field cultivated with Miscanthus	82387	M4-2	Tiedje.KBS.metaG	Quantity	Pass	"Illumina Regular Fragment, 270bp"	"Illumina Regular Fragment, 300bp, Tubes"	106727	Complete	Segment QC: Completed	Passed	AAHAX	9053.3.119383.GTGGCC.fastq.gz	usable
X9053.4.119385.GTTTCG.fastq.gz.sam.bam.sorted.bed.bed2.counts	Miscanthus	KBS	2014	MI	2014-MI	TG	1296	"Tiedje, James"	1062762	KBS Miscanthus M5-2	Metagenome Annotated Standard Draft	Complete	1062786	KBS Miscanthus M5-2	Metagenome Standard Draft	Metagenome Standard Draft	Complete	DataAvailable	Visible	Visible	PRJNA375579	SAMN06344185	SRP107253	PowerSoil¨ DNA Isolation Kit (MOBIO) and DNA Clean & Concentrator (Zymo)	Rhizosphere soil	Field cultivated with Miscanthus	82388	M5-2	Tiedje.KBS.metaG	Quantity	Pass	"Illumina Regular Fragment, 270bp"	"Illumina Regular Fragment, 300bp, Tubes"	106728	Complete	Segment QC: Completed	Passed	AAHAY	9053.4.119385.GTTTCG.fastq.gz	usable
X9053.5.119387.CGTACG.fastq.gz.sam.bam.sorted.bed.bed2.counts	Miscanthus	KBS	2014	MI	2014-MI	TG	1296	"Tiedje, James"	1062764	KBS Miscanthus M6-2	Metagenome Annotated Standard Draft	Complete	1062787	KBS Miscanthus M6-2	Metagenome Standard Draft	Metagenome Standard Draft	Complete	DataAvailable	Visible	Visible	PRJNA375580	SAMN06344186	SRP107254	PowerSoil¨ DNA Isolation Kit (MOBIO) and DNA Clean & Concentrator (Zymo)	Rhizosphere soil	Field cultivated with Miscanthus	82389	M6-2	Tiedje.KBS.metaG	Quantity	Pass	"Illumina Regular Fragment, 270bp"	"Illumina Regular Fragment, 300bp, Tubes"	106729	Complete	Segment QC: Completed	Passed	AAHAZ	9053.5.119387.CGTACG.fastq.gz	usable
X9117.1.122643.GGCTAC.fastq.gz.sam.bam.sorted.bed.bed2.counts	Switchgrass	KBS	2014	MI	2014-MI	TG	1296	"Tiedje, James"	1062742	KBS Switchgrass S2-2	Metagenome Annotated Standard Draft	Complete	1062776	KBS Switchgrass S2-2	Metagenome Standard Draft	Metagenome Standard Draft	Complete	DataAvailable	Visible	Visible	PRJNA367152	SAMN06267470	SRP104032	PowerSoil¨ DNA Isolation Kit (MOBIO) and DNA Clean & Concentrator (Zymo)	Rhizosphere soil	Field cultivated with switchgrass	82378	S2-2	Tiedje.KBS.metaG	Quantity	Pass	"Illumina Regular Fragment, 270bp"	"Illumina Regular Fragment, 300bp, Tubes"	106718	Complete	Segment QC: Completed	Passed	AAHAG	9117.1.122643.GGCTAC.fastq.gz	usable
X9370.6.130866.ACTTGA.fastq.gz.sam.bam.sorted.bed.bed2.counts	Miscanthus	KBS	2014	MI	2014-MI	TG	1296	"Tiedje, James"	1062766	KBS Miscanthus M7-2	Metagenome Annotated Standard Draft	Complete	1062788	KBS Miscanthus M7-2	Metagenome Standard Draft	Metagenome Standard Draft	Complete	DataAvailable	Visible	Visible	PRJNA367153	SAMN06267471	SRP104033	PowerSoil¨ DNA Isolation Kit (MOBIO) and DNA Clean & Concentrator (Zymo)	Rhizosphere soil	Field cultivated with Corn	89336	M7-2.2	KBS Miscanthus M7-2	Quantity	Pass	"Illumina Regular Fragment, 270bp"	"Illumina Regular Fragment, 300bp"	117117	Complete	Segment QC: Completed	Passed	ANZSG	9370.6.130866.ACTTGA.fastq.gz	usable
X9370.7.130878.ACTTGA.fastq.gz.sam.bam.sorted.bed.bed2.counts	Miscanthus	KBS	2014	MI	2014-MI	TG	1296	"Tiedje, James"	1062766	KBS Miscanthus M7-2	Metagenome Annotated Standard Draft	Complete	1062788	KBS Miscanthus M7-2	Metagenome Standard Draft	Metagenome Standard Draft	Complete	DataAvailable	Visible	Visible	PRJNA367153	SAMN06267471	SRP104033	PowerSoil¨ DNA Isolation Kit (MOBIO) and DNA Clean & Concentrator (Zymo)	Rhizosphere soil	Field cultivated with Corn	89336	M7-2.2	KBS Miscanthus M7-2	Quantity	Pass	"Illumina Regular Fragment, 270bp"	"Illumina Regular Fragment, 300bp"	117117	Complete	Segment QC: Completed	Passed	ANZSG	9370.7.130878.ACTTGA.fastq.gz	usable
X9672.8.140931.GTAGAG.fastq.gz.sam.bam.sorted.bed.bed2.counts	Miscanthus	KBS	2014	MI	2014-MI	TG	1296	"Tiedje, James"	1062754	KBS Miscanthus M1-2	Metagenome Annotated Standard Draft	Complete	1062782	KBS Miscanthus M1-2	Metagenome Standard Draft	Metagenome Standard Draft	Complete	DataAvailable	Visible	Visible	PRJNA375575	SAMN06344181	SRP106645	PowerSoil¨ DNA Isolation Kit (MOBIO) and DNA Clean & Concentrator (Zymo)	Rhizosphere soil	Field cultivated with Miscanthus	82384	M1-2	Tiedje.KBS.metaG	Quantity	Pass	"Illumina Regular Fragment, 270bp"	"Illumina Regular Fragment, 300bp, Tubes"	106724	Complete	Segment QC: Completed	Passed	AAHAT	9672.8.140931.GTAGAG.fastq.gz	usable
S2.2016.N0	Miscanthus	Iowa	2018	IA	2018-IA	LAMPS	Gb0237106																																	
S2.2016.N400	Miscanthus	Iowa	2018	IA	2018-IA	LAMPS	Gb0237107																																	
S2.2017.N400	Miscanthus	Iowa	2018	IA	2018-IA	LAMPS	Gb0237109																																	
S5.2016.N0	Miscanthus	Iowa	2018	IA	2018-IA	LAMPS	Gb0237110																																	
S5.2016.N400	Miscanthus	Iowa	2018	IA	2018-IA	LAMPS	Gb0237111																																	
S5.2017.N0	Miscanthus	Iowa	2018	IA	2018-IA	LAMPS	Gb0237112																																	
S5.2017.N400	Miscanthus	Iowa	2018	IA	2018-IA	LAMPS	Gb0237113																																	
